x,y,z
-8.804985906,-7.346953396,29.17199118
-8.657915382,-7.178032326,29.02992645
-8.509560248,-7.025439922,28.86737696
-8.361647628,-6.890187851,28.68672719
-8.215821337,-6.772981342,28.49041034
-8.073622036,-6.674247955,28.28086467
-7.936472231,-6.594170563,28.06049801
-7.805665958,-6.532722333,27.83166014
-7.682362784,-6.489701819,27.59662287
-7.567585669,-6.46476661,27.35756673
-7.462222094,-6.45746433,27.11657358
-7.367027877,-6.467260141,26.87562403
-7.282633037,-6.493560206,26.63659866
-7.209549122,-6.535730834,26.40128214
-7.14817745,-6.593113239,26.17136928
-7.098817752,-6.665034014,25.94847234
-7.061676785,-6.750811534,25.73412884
-7.036876557,-6.849758588,25.52980934
-7.024461836,-6.961181584,25.33692466
-7.024406728,-7.084376696,25.15683219
-7.036620116,-7.218623339,24.99084084
-7.060949857,-7.363175366,24.84021435
-7.097185641,-7.517250371,24.70617271
-7.145060488,-7.680017515,24.58989132
-7.204250882,-7.85058428,24.49249768
-7.27437561,-8.027982609,24.41506541
-7.354993374,-8.211154921,24.35860525
-7.445599317,-8.398940553,24.32405299
-7.545620641,-8.590063228,24.31225402
-7.654411526,-8.783120274,24.32394458
-7.771247622,-8.976574339,24.35972957
-7.895320436,-9.168748487,24.42005721
-8.025731994,-9.357825579,24.50519076
-8.161490196,-9.54185291,24.6151779
-8.301505355,-9.718753069,24.74981858
-8.444588438,-9.886341902,24.9086323
-8.589451564,-10.04235435,25.09082637
-8.734711326,-10.18447869,25.29526669
-8.878895466,-10.31039931,25.52045306
-9.020453402,-10.41784788,25.76450118
-9.157770995,-10.5046619,26.0251337
-9.289189794,-10.5688494,26.29968236
-9.413030806,-10.60865745,26.58510352
-9.527622611,-10.6226418,26.87800843
-9.631333337,-10.60973426,27.17470932
-9.722605732,-10.56930388,27.47128137
-9.79999426,-10.50120808,27.76363946
-9.862202863,-10.40582969,28.04762786
-9.908121837,-10.28409663,28.31911934
-9.936862093,-10.13748156,28.57411976
-9.947785084,-9.967980025,28.80887291
-9.940526748,-9.77806721,29.01996053
-9.915014063,-9.570634662,29.20439188
-9.871473134,-9.34890989,29.35967845
-9.810428195,-9.116363071,29.48388951
-9.732691408,-8.876605904,29.57568638
-9.639343853,-8.633288182,29.63433403
-9.531708604,-8.389997616,29.6596906
-9.411317214,-8.150167964,29.65217678
-9.279871232,-7.916999656,29.61272809
-9.139200576,-7.69339592,29.54273408
-8.991220631,-7.481916163,29.44396863
-8.837889859,-7.284747045,29.31851597
-8.68116954,-7.103690518,29.16869637
-8.522986972,-6.940167193,28.99699501
-8.365203147,-6.795232654,28.80599684
-8.20958558,-6.66960401,28.59832933
